"word","freqency"
"CHRISTMAS SONG",18264
"A CHRISTMAS",2637
"THE CHRISTMAS",2582
"A CHRISTMAS SONG",2015
"THE CHRISTMAS SONG",1895
"FOR CHRISTMAS",1840
"FAVORITE CHRISTMAS",1764
"FAVORITE CHRISTMAS SONG",1681
"CHRISTMAS SONG .",1534
"BEST CHRISTMAS",1417
"12 DAYS OF",1356
"BEST CHRISTMAS SONG",1355
"CHRISTMAS SONG """,1180
"CHRISTMAS SONG ?",1074
"CHRISTMAS SONG !",1072
"CHRISTMAS IS",992
"THE BEST CHRISTMAS",990
"THE BEST CHRISTMAS SONG",951
"CHRISTMAS SPECIAL",917
"MY FAVORITE",910
"@ ARIANAGRANDE",888
"CHRISTMAS -",881
"SONG PARODIES",873
"CHRISTMAS SONG PARODIES",873
": CHRISTMAS",856
"ALL I WANT",850
"THIS CHRISTMAS",848
"PARODIES -",840
"CHRISTMAS SONG PARODIES -",840
"SONG PARODIES -",840
"MERRY CHRISTMAS",835
"I WANT FOR",833
"OF CHRISTMAS",826
"ALL I WANT FOR",820
"WANT FOR CHRISTMAS",819
"I WANT FOR CHRISTMAS",797
"OF NEW YORK",794
"DAYS OF TUMBLR",789
"12 DAYS OF TUMBLR",789
"ALL I WANT FOR CHRISTMAS",787
"LAST CHRISTMAS",769
"FAVOURITE CHRISTMAS",761
"MY CHRISTMAS",749
"CHRISTMAS SONG EVER",736
"CHRISTMAS """,722
"FAVOURITE CHRISTMAS SONG",721
"# CHRISTMAS",716
"CHRISTMAS .",683
"MY FAVORITE CHRISTMAS",678
"MY FAVORITE CHRISTMAS SONG",662
"FAIRYTALE OF",660
"FOR CHRISTMAS IS",658
"S CHRISTMAS",640
"WANT FOR CHRISTMAS IS",631
"I WANT FOR CHRISTMAS IS",626
"ALL I WANT FOR CHRISTMAS IS",621
"FAIRYTALE OF NEW",618
"FAIRYTALE OF NEW YORK",616
""" THE CHRISTMAS",610
"YOUR FAVORITE",608
"CHRISTMAS SONG IS",597
"365 12 DAYS",594
"365 12 DAYS OF",594
": CHRISTMAS SONG",589
""" THE CHRISTMAS SONG",585
"MY CHRISTMAS SONG",583
"' S CHRISTMAS",580
"THE CHRISTMAS SONG """,579
"365 12 DAYS OF TUMBLR",576
""" THE CHRISTMAS SONG """,564
"ORIGINAL SONG",557
"PARODIES - &",551
"CHRISTMAS SONG PARODIES - &",551
"SONG PARODIES - & GT ;",551
"PARODIES - & GT",551
"THEME TUNE",551
"SONG PARODIES - &",551
"SONG PARODIES - & GT",551
"PARODIES - & GT ;",551
"CHRISTMAS SONG PARODIES - & GT",551
"DAYS OF CHRISTMAS",548
"CHRISTMAS SONG :",547
"CHRISTMAS SONG ! !",541
"MADDEN BROTHERS",536
"YOUTUBE VIDEO",534
"CHRISTMAS SONG IN",532
"A @ YOUTUBE",531
"DOCTOR WHO",529
"KARIM BENZEMA",518
"MARIAH CAREY",505
"- CHRISTMAS",503
"CHRISTMAS EVE",495
"THE MADDEN",492
"THE MADDEN BROTHERS",490
"@ YOUTUBE VIDEO",487
"A @ YOUTUBE VIDEO",486
"SONG . . .",483
"- ORIGINAL",483
"- ORIGINAL SONG",475
"ORIGINAL SONG BY",473
"ON CHRISTMAS",471
"- ORIGINAL SONG BY",470
"IS THE BEST",470
"VIA @ YOUTUBE",467
"WHAT ' S YOUR",465
"! CHECK OUT",465
"REVAMPED THEME",463
"REVAMPED THEME TUNE",462
"TIME OF YEAR",460
"CHRISTMAS SONG ,",458
"A REVAMPED",457
"12 DAYS OF CHRISTMAS",457
"MINECRAFT CHRISTMAS",457
"TITLE SEQUENCE",453
"CHRISTMAS SONG I",452
"SANTA CLAUS",451
"BEST CHRISTMAS SONG EVER",451
"YOUR FAVORITE CHRISTMAS",451
"# DOCTORWHO",449
